"ISO_SOV1","Cluster"
"DZA",1
"AGO",2
"ATG",2
"ARG",1
"AUS",3
"BHS",2
"BHR",4
"BGD",2
"BRB",4
"BLZ",5
"BRA",1
"BRN",4
"BGR",6
"KHM",2
"CMR",2
"CAN",3
"CHL",1
"CHN",1
"COL",1
"COM",2
"CRI",1
"HRV",6
"CUB",5
"CYP",6
"DNK",3
"DJI",2
"DOM",5
"TLS",2
"ECU",5
"EGY",1
"SLV",5
"GNQ",2
"ERI",2
"EST",6
"SOM",2
"FJI",5
"FIN",3
"FRA",3
"GAB",5
"DEU",3
"GHA",5
"KIR",5
"GRC",6
"GRD",2
"GTM",5
"GIN",2
"GNB",5
"GUY",2
"HTI",2
"HND",5
"ISL",6
"IND",1
"IDN",1
"IRN",5
"IRQ",2
"IRL",6
"ISR",6
"ITA",6
"CIV",5
"JAM",5
"JPN",3
"JOR",4
"KEN",5
"LVA",6
"LBR",5
"LBY",2
"LTU",6
"MDG",5
"MYS",1
"MDV",4
"MLT",4
"MHL",5
"MRT",5
"MEX",1
"FSM",2
"MNE",6
"MAR",1
"MOZ",5
"MMR",2
"NLD",3
"NZL",3
"NIC",5
"NGA",2
"PRK",2
"NOR",3
"OMN",4
"PAK",5
"PLW",4
"PAN",5
"PNG",5
"PER",1
"PHL",1
"POL",6
"PRT",3
"QAT",4
"MUS",4
"ROU",6
"RUS",6
"LCA",4
"WSM",4
"STP",2
"SAU",1
"SEN",5
"SYC",5
"SLE",2
"SGP",4
"SLB",2
"ZAF",1
"KOR",6
"ESP",3
"LKA",5
"SDN",2
"SUR",2
"SWE",3
"SYR",2
"TWN",6
"TZA",5
"THA",1
"TGO",2
"TON",4
"TTO",4
"TUN",1
"TUR",6
"UKR",6
"ARE",1
"GBR",3
"USA",3
"URY",1
"VUT",2
"VEN",5
"VNM",1
"YEM",2
"BEN",2
"GMB",2
"KNA",4
"SVN",6
"MCO",4
"LBN",2
